"","Name","PassportID","Gender","DateOfBirth","Age","Nationality","University","Commission","YearOfAdmission"
"302","Abdul Rahman Ali","A890123","Male","22/8/2003",18,"Yemen","UNITEN",4700,2022
"303","Ahmed Mohamed","A901234","Male","2/11/2002",20,"Egypt","UNIMAS",3400,2022
"304","Aisha Abdi","A012345","Female","11/4/2003",19,"Somalia","AIMST",2600,2022
"305","Ali Hussein","A123456","Male","15/7/2002",20,"Sudan","TARC",3600,2022
"306","Amal Mohamed","A234567","Female","19/6/2003",19,"Egypt","MAHSA",3100,2022
"307","Asmaa Ali","A345678","Female","9/12/2002",20,"Yemen","KLMUC",2900,2022
"308","Bilal Abdi","A456789","Male","18/5/2003",19,"Somalia","IACT",3100,2022
"309","Farah Mohamed","A678901","Female","22/3/2003",19,"Egypt","OUM",3600,2022
"310","Fatima Abdi","A789012","Female","15/6/2002",20,"Somalia","UTAR",2500,2022
"311","Hala Hussein","A890123","Female","16/1/2003",19,"Sudan","WOU",4700,2022
"312","Hamza Ali","A901234","Male","3/9/2002",20,"Yemen","SEGi",3200,2022
"313","Ismail Mohamed","A012345","Male","20/5/2003",19,"Egypt","INTI",3100,2022
"314","Jana Abdi","A123456","Female","12/8/2002",20,"Somalia","TARUC",3400,2022
"315","Khadija Hussein","A234567","Female","5/3/2003",19,"Sudan","MMU",2600,2022
"316","Layan Ali","A345678","Female","30/11/2002",20,"Yemen","Sunway",3100,2022
"317","Malik Abdi","A456789","Male","12/4/2003",19,"Somalia","KDU",2900,2022
"318","Mariam Hussein","A567890","Female","24/7/2002",20,"Sudan","HELP",3600,2022
"319","Mazen Mohamed","A678901","Male","8/8/2003",18,"Egypt","UCSI",4700,2022
"320","Mina Abdi","A789012","Female","11/11/2002",20,"Somalia","UNITEN",2600,2022
"321","Mohamed Hussein","A890123","Male","2/2/2003",19,"Sudan","UNIMAS",3100,2022
"322","Mohammed Ali","A901234","Male","19/5/2002",20,"Yemen","AIMST",3200,2022
"323","Mustafa Mohamed","A012345","Male","17/3/2003",19,"Egypt","TARC",3600,2022
"324","Nada Abdi","A123456","Female","10/6/2002",20,"Somalia","MAHSA",4700,2022
"325","Nadia Hussein","A234567","Female","22/4/2003",19,"Sudan","KLMUC",2600,2022
"326","Naima Ali","A345678","Female","14/8/2002",20,"Yemen","IACT",3100,2022
"327","Najma Abdi","A456789","Female","29/1/2003",19,"Somalia","OUM",3400,2022
"328","Nour Hussein","A567890","Female","12/12/2002",20,"Sudan","UTAR",3600,2022
"329","Omar Ali","A678901","Male","23/8/2003",18,"Yemen","WOU",2500,2022
"330","Rayyan Mohamed","A789012","Male","16/5/2002",20,"Egypt","SEGi",3100,2022
"331","Rima Abdi","A890123","Female","9/6/2003",19,"Somalia","INTI",2600,2022
"332","Saba Hussein","A901234","Female","31/7/2002",20,"Sudan","TARUC",3200,2022
"333","Safiya Mohamed","A012345","Female","5/2/2003",19,"Egypt","MMU",3400,2022
"334","Sahra Ali","A123456","Female","7/11/2002",20,"Yemen","Sunway",3600,2022
"335","Salma Abdi","A234567","Female","11/5/2003",19,"Somalia","KDU",3100,2022
"336","Samir Hussein","A345678","Male","23/7/2002",20,"Sudan","HELP",4700,2022
"337","Sara Ali","A456789","Female","25/4/2003",19,"Yemen","UCSI",2600,2022
"338","Shaima Abdi","A567890","Female","18/8/2002",20,"Somalia","UNITEN",3200,2022
"339","Sumaya Hussein","A678901","Female","20/1/2003",19,"Sudan","UNIMAS",3400,2022
"340","Taha Mohamed","A789012","Male","22/6/2002",20,"Egypt","AIMST",2900,2022
"341","Tarek Ali","A890123","Male","2/3/2003",19,"Yemen","TARC",4700,2022
"342","Wafa Abdi","A901234","Female","27/5/2002",20,"Somalia","MAHSA",3600,2022
"343","Yara Hussein","A012345","Female","28/3/2003",19,"Sudan","KLMUC",3100,2022
"344","Yasin Mohamed","A123456","Male","9/6/2002",20,"Egypt","IACT",2500,2022
"345","Yasir Abdi","A234567","Male","5/5/2003",19,"Somalia","OUM",2600,2022
"346","Youssef Hussein","A345678","Male","18/12/2002",20,"Sudan","UTAR",2900,2022
"347","Zaid Ali","A456789","Male","13/9/2003",18,"Yemen","WOU",3400,2022
"348","Zainab Abdi","A567890","Female","19/7/2002",20,"Somalia","SEGi",4700,2022
"349","Zaki Mohamed","A678901","Male","8/4/2003",19,"Egypt","INTI",2900,2022
"350","Zara Hussein","A789012","Female","10/11/2002",20,"Sudan","TARUC",3100,2022
"351","Zeinab Ali","A890123","Female","28/6/2003",19,"Yemen","MMU",4700,2022
"352","Ziad Mohamed","A901234","Male","15/9/2002",20,"Egypt","Sunway",3600,2022
"353","Aisha Abdulla","B012345","Female","1/4/2003",19,"UAE","KDU",3200,2022
"354","Amira Mohamed","B123456","Female","26/7/2002",20,"Egypt","HELP",3100,2022
"355","Asmaa Ali","B234567","Female","19/5/2003",19,"Yemen","UCSI",2600,2022
"356","Ayman Hussein","B345678","Male","23/8/2002",20,"Sudan","UNITEN",4700,2022
"357","Baraa Mohamed","B456789","Male","16/3/2003",19,"Egypt","UNIMAS",2500,2022
"358","Dalia Abdulla","B567890","Female","9/6/2002",20,"UAE","AIMST",3600,2022
"359","Eman Ali","B678901","Female","2/1/2003",19,"Yemen","TARC",2900,2022
"360","Faisal Mohamed","B789012","Male","25/5/2002",20,"Egypt","MAHSA",4700,2022
"361","Farida Hussein","B890123","Female","28/2/2003",19,"Sudan","KLMUC",2600,2022
"362","Fatima Ali","B901234","Female","21/11/2002",20,"Yemen","IACT",3100,2022
"363","Ghada Mohamed","B012345","Female","22/3/2003",19,"Egypt","OUM",3400,2022
"364","Habiba Abdulla","B123456","Female","15/8/2002",20,"UAE","UTAR",2600,2022
"365","Hana Ali","B234567","Female","18/7/2003",19,"Yemen","WOU",3600,2022
"366","Hassan Hussein","B345678","Male","31/12/2002",20,"Sudan","SEGi",2900,2022
"367","Hayat Mohamed","B456789","Female","10/4/2003",19,"Egypt","INTI",3100,2022
"368","Ibrahim Ali","B567890","Male","13/7/2002",20,"Yemen","TARUC",4700,2022
"369","Inas Abdulla","B678901","Female","6/1/2003",19,"UAE","MMU",3400,2022
"370","Jamal Mohamed","B789012","Male","28/6/2002",20,"Egypt","Sunway",2900,2022
"371","Khaled Hussein","B890123","Male","30/3/2003",19,"Sudan","KDU",3600,2022
"372","Lina Ali","B901234","Female","23/5/2002",20,"Yemen","HELP",3200,2022
"373","Maha Mohamed","C012345","Female","8/1/2003",19,"Egypt","UCSI",4700,2022
"374","Mariam Abdulla","C123456","Female","1/6/2002",20,"UAE","UNITEN",2600,2022
"375","Maryam Ali","C234567","Female","9/5/2003",19,"Yemen","UNIMAS",3400,2022
"376","Mazen Hussein","C345678","Male","23/7/2002",20,"Sudan","AIMST",3600,2022
"377","Miriam Mohamed","C456789","Female","22/2/2003",19,"Egypt","TARC",2500,2022
"378","Mohamed Ali","C567890","Male","25/9/2002",20,"Yemen","MAHSA",2900,2022
"379","Mona Abdulla","C678901","Female","30/1/2003",19,"UAE","KLMUC",3200,2022
"380","Mustafa Hussein","C789012","Male","20/5/2002",20,"Sudan","IACT",3100,2022
"381","Nadia Mohamed","C890123","Female","3/4/2003",19,"Egypt","OUM",2600,2022
"382","Nada Ali","C901234","Female","6/11/2002",20,"Yemen","UTAR",3600,2022
"383","Nasser Hussein","C012345","Male","7/8/2003",18,"Sudan","WOU",4700,2022
"384","Noura Abdulla","C123456","Female","10/8/2002",20,"UAE","SEGi",3400,2022
"385","Omar Mohamed","C234567","Male","16/7/2003",19,"Egypt","INTI",3200,2022
"386","Othman Ali","C345678","Male","9/12/2002",20,"Yemen","TARUC",2600,2022
"387","Rana Hussein","C456789","Female","1/6/2003",19,"Sudan","MMU",3800,2022
"388","Rawan Mohamed","C567890","Female","9/7/2002",20,"Egypt","Sunway",3400,2022
"389","Rayan Ali","C678901","Male","11/5/2003",19,"Yemen","KDU",2900,2022
"390","Rima Abdulla","C789012","Female","14/10/2002",20,"UAE","HELP",3600,2022
"391","Safa Hussein","C890123","Female","3/2/2003",19,"Sudan","UCSI",4700,2022
"392","Sahar Ali","C901234","Female","29/5/2002",20,"Yemen","UNITEN",3200,2022
"393","Salma Mohamed","D012345","Female","12/4/2003",19,"Egypt","UNIMAS",2600,2022
"394","Sara Abdulla","D123456","Female","5/7/2002",20,"UAE","AIMST",2500,2022
"395","Sarah Ali","D234567","Female","3/6/2003",19,"Yemen","TARC",3400,2022
"396","Shadia Hussein","D345678","Female","6/9/2002",20,"Sudan","MAHSA",3600,2022
"397","Somaia Mohamed","D456789","Female","10/5/2003",19,"Egypt","KLMUC",3100,2022
"398","Sumaya Ali","D567890","Female","13/8/2002",20,"Yemen","IACT",2900,2022
"399","Suzan Abdulla","D678901","Female","16/1/2003",19,"UAE","OUM",3600,2022
"400","Tarek Mohamed","D789012","Male","9/5/2002",20,"Egypt","UTAR",3200,2022
"401","Tawfiq Hussein","D890123","Male","12/3/2003",19,"Sudan","WOU",3400,2022
"402","Wafa Ali","D901234","Female","15/11/2002",20,"Yemen","SEGi",2600,2022
"403","Yasir Mohamed","D012345","Male","18/8/2003",18,"Egypt","INTI",2500,2022
"404","Yusra Abdulla","D123456","Female","21/6/2002",20,"UAE","TARUC",2900,2022
"405","Zainab Hussein","D234567","Female","24/1/2003",19,"Sudan","MMU",3600,2022
"406","Zaki Mohamed","D345678","Male","27/12/2002",20,"Egypt","Sunway",3100,2022
"407","Zara Ali","D456789","Female","28/2/2003",19,"Yemen","KDU",3200,2022
"408","Ziad Abdulla","D567890","Male","31/7/2002",20,"UAE","HELP",3400,2022
"409","Abeer Hussein","D678901","Female","23/3/2003",19,"Sudan","UCSI",2500,2022
"410","Abdul Ali","D789012","Male","26/6/2002",20,"Yemen","UNITEN",4700,2022
"411","Abrar Mohamed","D890123","Male","29/5/2003",19,"Egypt","UNIMAS",3600,2022
"412","Adel Abdulla","D901234","Male","31/8/2002",20,"UAE","AIMST",2600,2022
"413","Aisha Ali","E012345","Female","1/1/2003",19,"Yemen","TARC",3400,2022
"414","Akram Hussein","E123456","Male","3/9/2002",20,"Sudan","MAHSA",2900,2022
"415","Amal Mohamed","E234567","Female","5/6/2003",19,"Egypt","KLMUC",3100,2022
"416","Amira Abdulla","E345678","Female","7/11/2002",20,"UAE","IACT",3600,2022
"417","Anas Ali","E456789","Male","9/4/2003",19,"Yemen","OUM",3800,2022
"418","Areej Hussein","E567890","Female","11/7/2002",20,"Sudan","UTAR",2600,2022
"419","Asma Mohamed","E678901","Female","13/5/2003",19,"Egypt","WOU",3200,2022
"420","Ayman Abdulla","E789012","Male","15/8/2002",20,"UAE","SEGi",2500,2022
"421","Ayesha Ali","E890123","Female","17/3/2003",19,"Yemen","INTI",3100,2022
"422","Aziz Hussein","E901234","Male","19/6/2002",20,"Sudan","TARUC",2900,2022
"423","Batool Mohamed","F012345","Female","21/7/2003",19,"Egypt","MMU",4700,2022
"424","Dalia Abdulla","F123456","Female","23/9/2002",20,"UAE","Sunway",3400,2022
"425","Diaa Ali","F234567","Male","25/1/2003",19,"Yemen","KDU",3600,2022
"426","Esraa Hussein","F345678","Female","27/4/2002",20,"Sudan","HELP",2600,2022
"427","Farid Mohamed","F456789","Male","30/3/2003",19,"Egypt","UCSI",2600,2022
"428","Fatima Abdulla","F567890","Female","1/8/2002",20,"UAE","UNITEN",3200,2022
"429","Firas Ali","F678901","Male","4/5/2003",19,"Yemen","UNIMAS",3100,2022
"430","Ghalia Hussein","F789012","Female","6/10/2002",20,"Sudan","AIMST",3600,2022
"431","Hadi Mohamed","F890123","Male","8/7/2003",19,"Egypt","TARC",3400,2022
"432","Hanan Ali","F012345","Female","12/9/2003",19,"Yemen","MAHSA",4700,2022
"433","Hassan Hussein","F123456","Male","15/7/2002",20,"Sudan","KLMUC",3200,2022
"434","Heba Mohamed","F234567","Female","17/4/2003",19,"Egypt","IACT",3600,2022
"435","Hind Abdulla","F345678","Female","19/11/2002",20,"UAE","OUM",3100,2022
"436","Ibtisam Ali","F456789","Female","21/1/2003",19,"Yemen","UTAR",2600,2022
"437","Ibrahim Hussein","F567890","Male","23/5/2002",20,"Sudan","WOU",3400,2022
"438","Imran Mohamed","F678901","Male","25/2/2003",19,"Egypt","SEGi",3800,2022
"439","Jana Abdulla","F789012","Female","27/6/2002",20,"UAE","INTI",2900,2022
"440","Juman Ali","F890123","Female","1/3/2003",19,"Yemen","TARUC",2500,2022
"441","Khaled Hussein","F901234","Male","3/8/2002",20,"Sudan","MMU",3600,2022
"442","Lama Mohamed","G012345","Female","6/5/2003",19,"Egypt","Sunway",3200,2022
"443","Leena Abdulla","G123456","Female","8/8/2002",20,"UAE","KDU",3400,2022
"444","Lubna Ali","G234567","Female","10/7/2003",19,"Yemen","HELP",3100,2022
"445","Mahmoud Hussein","G345678","Male","12/9/2002",20,"Sudan","UCSI",2900,2022
"446","Ahmed Ali","ABC123456","Male","1-Jan-98",23,"Iraq","Sunway",750,2018
"447","Laila Hassan","DEF789012","Female","2-Feb-99",21,"Egypt","Binary",600,2018
"448","Mohammed Saeed","GHI345678","Male","3-Mar-97",24,"Yemen","Limkokwing",700,2018
"449","Amirah Hassan","JKL901234","Female","4-Apr-00",20,"Malaysia","KDU",850,2018
"450","Ahmed Omar","MNO567890","Male","5-May-98",22,"Libya","Nilai",900,2018
"451","Fatima Ali","PQR123456","Female","6-Jun-97",23,"Saudi Arabia","Mahsa",500,2018
"452","Ali Hassan","STU789012","Male","7-Jul-96",24,"Somalia","UCSI",800,2018
"453","Yasmin Saeed","VWX345678","Female","8-Aug-99",21,"Bahrain","Taylor's",750,2018
"454","Omar Ahmed","YZA901234","Male","9-Sep-98",22,"Sudan","APU",600,2018
"455","Aisha Mohammed","BCD567890","Female","10-Oct-97",23,"United Arab Emirates","City",900,2018
"456","Hussain Ali","EFG123456","Male","19-Oct-00",20,"Pakistan","UUM",700,2018
"457","Amani Omar","HIJ789012","Female","12-Dec-95",25,"Yemen","UIA",1000,2018
"458","Abdullah Hassan","KLM345678","Male","13-Jan-00",21,"Egypt","KL",550,2018
"459","Sara Ahmed","NOP901234","Female","14-Feb-99",22,"Yemen","UPM",800,2018
"460","Amira Ahmed","QRS567890","Female","16-Apr-98",23,"Egypt","MMU",600,2018
"461","Abdul Rahman","TUV123456","Male","17-May-99",22,"Saudi Arabia","UCSI",750,2018
"462","Noura Ali","WXY789012","Female","18-Jun-97",24,"United Arab Emirates","UTAR",900,2018
"463","Mohammed Omar","ZAB345678","Male","19-Jul-98",22,"Yemen","UNITAR",700,2018
"464","Hala Mohammed","CDE901234","Female","20-Aug-00",20,"Iraq","SEGi",1000,2018
"465","Samir Hassan","FGH567890","Male","21-Sep-96",24,"Somalia","Sunway",500,2018
"466","Lina Saeed","IJK123456","Female","22-Oct-95",25,"Yemen","Binary",800,2018
"467","Kareem Ali","LMN789012","Male","23-Nov-97",23,"Egypt","Limkokwing",900,2018
"468","Noor Hussein","OPQ345678","Female","24-Dec-99",21,"Iraq","KDU",600,2018
"469","Hamza Mohammed","RST901234","Male","25-Jan-98",23,"Libya","Nilai",700,2018
"470","Nadia Ahmed","UVW567890","Female","26-Feb-96",25,"Egypt","Mahsa",750,2018
"471","Ahmed Hassan","XYZ123456","Male","16-Jan-01",24,"Somalia","UCSI",800,2018
"472","Rana Saeed","AAB789012","Female","28-Apr-99",22,"Bahrain","Taylor's",750,2018
"473","Khalid Omar","BCD345678","Male","29-May-98",22,"Sudan","APU",1000,2018
"474","Fatima Mohammed","EFG901234","Female","30-Jun-00",20,"Yemen","City",800,2018
"475","Sarah Rahman","HIJ567890","Female","1-Jul-98",23,"Bangladesh","UUM",1200,2018
"476","Ali Hamza","KLM123456","Male","2-Aug-97",24,"Iraq","UIA",1000,2018
"477","Sana Nasir","NOP789012","Female","3-Sep-96",25,"Pakistan","KL",800,2018
"478","Mohammed Ali","QRS345678","Male","4-Oct-95",26,"Egypt","UPM",900,2018
"479","Reem Abdullah","TUV901234","Female","5-Nov-99",22,"Saudi Arabia","MMU",750,2018
"480","Yaseen Ahmed","WXY567890","Male","6-Dec-97",24,"United Arab Emirates","UCSI",800,2018
"481","Zainab Hassan","ZAB123456","Female","7-Jan-96",25,"Yemen","UTAR",700,2018
"482","Mohammed Ahmed","CDE789012","Male","8-Feb-98",23,"Somalia","UNITAR",600,2018
"483","Aisha Mohammed","FGH345678","Female","9-Mar-99",22,"Libya","SEGi",700,2018
"484","Omar Hassan","IJK901234","Male","10-Apr-97",24,"Egypt","Sunway",800,2018
"485","Fatima Nasser","LMN567890","Female","11-May-98",23,"Yemen","Binary",750,2018
"486","Hassan Ali","OPQ123456","Male","12-Jun-96",25,"Sudan","Limkokwing",900,2018
"487","Mohammed Saeed","RST789012","Male","13-Jul-99",22,"Iraq","KDU",1000,2018
"488","Huda Mohammed","UVW345678","Female","14-Aug-00",21,"Yemen","Nilai",800,2018
"489","Fatima Ahmed","XYZ901234","Female","16-Oct-97",24,"Pakistan","Mahsa",900,2018
"490","Ahmad Mahmoud","AAB567890","Male","17-Nov-96",25,"Egypt","UCSI",800,2018
"491","Mariam Ali","BCD123456","Female","18-Dec-95",26,"Iraq","Taylor's",700,2018
"492","Hani Salem","EFG789012","Male","19-Jan-98",23,"Saudi Arabia","APU",1000,2018
"493","Samira Hassan","HIJ345678","Female","20-Feb-99",22,"Yemen","City",750,2018
"494","Mohammed Omar","KLM901234","Male","21-Mar-96",25,"Somalia","UUM",600,2018
"495","Sara Nasser","NOP567890","Female","22-Apr-97",24,"Libya","UIA",800,2018
"496","Ahmed Ali","QRS123456","Male","23-May-98",23,"Sudan","KL",900,2018
"497","Amna Hassan","TUV789012","Female","24-Jun-99",22,"United Arab Emirates","UPM",700,2018
"498","Abdullah Saeed","WXY345678","Male","25-Jul-96",25,"Yemen","MMU",800,2018
"499","Zainab Ahmad","ZAB901234","Female","26-Aug-97",24,"Pakistan","UCSI",1000,2018
"500","Mustafa Hassan","CDE567890","Male","27-Sep-98",23,"Iraq","UTAR",900,2018
"501","Ayman Najib","FGH123456","Male","28-Oct-99",22,"Egypt","UNITAR",750,2018
"502","Lina Mohammed","IJK789012","Female","29-Nov-96",25,"Yemen","UTAR",800,2018
"503","Ibrahim Omar","LMN345678","Male","30-Dec-97",24,"Somalia","INTI",700,2018
"504","Amira Al-Baity","OPQ901234","Female","1-Jan-99",19,"Yemen","SEGi",500,2018
"505","Zahraa Kaddoura","RST567890","Female","3-Jan-97",21,"Syria","Sunway",400,2018
"506","Omar Saeed","UVW123456","Male","5-Jan-98",20,"Jordan","Limkokwing",600,2018
"507","Faris Ahmad","XYZ789012","Male","10-Jan-97",21,"Pakistan","KDU",700,2018
"508","Arwa Hassan","AAB345678","Female","12-Jan-96",22,"Somalia","Binary",450,2018
"509","Hamzah Khouri","BCD901234","Male","15-Jan-99",19,"Palestine","Nilai",550,2018
"510","Fatima Ali","EFG567890","Female","20-Jan-98",20,"Iraq","Mahsa",350,2018
"511","Sarah Khader","HIJ123456","Female","22-Jan-97",21,"Jordan","UCSI",450,2018
"512","Huda Al-Najjar","KLM789012","Female","25-Jan-99",19,"Syria","Taylor's",400,2018
"513","Mohammed Al-Barrak","NOP345678","Male","1-Feb-98",20,"Yemen","APU",550,2018
"514","Mustafa Saad","QRS901234","Male","4-Feb-97",21,"Iraq","City",600,2018
"515","Ayah Elias","TUV567890","Female","8-Feb-96",22,"Palestine","UUM",500,2018
"516","Fathi Hassan","WXY123456","Female","13-Feb-99",19,"Somalia","UIA",450,2018
"517","Khaleel Saadiq","ZAB789012","Male","16-Feb-98",20,"Pakistan","KL",350,2018
"518","Sarah Jamilah","CDE345678","Female","2-Feb-99",24,"Malaysia","UPM",500,2018
"519","Mohammed Hassan","FGH901234","Male","10-Mar-97",26,"Sudan","MMU",750,2018
"520","Fatimah Ahmad","IJK567890","Female","15-Apr-98",23,"Malaysia","UCSI",600,2018
"521","Ahmad Abdulrazzaq","LMN123456","Male","7-May-96",27,"Iraq","UTAR",400,2018
"522","Sadiya Mohammed Ali","OPQ789012","Female","1-Jun-99",22,"Somalia","UNITAR",550,2018
"523","Jin-soo Choi","RST345678","Male","14-Jul-98",23,"South Korea","SEGi",700,2018
"524","Muhammad Zubairi","UVW901234","Male","25-Aug-96",27,"Pakistan","Sunway",650,2018
"525","Yasmeen Ali","XYZ567890","Female","7-Sep-98",23,"Pakistan","Binary",600,2018
"526","Faizan Mahmood","AAB123456","Male","19-Oct-97",24,"Pakistan","Limkokwing",700,2018
"527","Mohammed Ibrahim","BCD789012","Male","2-Nov-95",26,"Yemen","KDU",800,2018
"528","Rasma Hussein","EFG345678","Female","15-Dec-99",22,"Somalia","Nilai",500,2018
"529","Yusuf Omar","HIJ901234","Male","28-Jan-95",28,"Somalia","Mahsa",750,2018
"530","Nizar Hassan","KLM567890","Male","13-Feb-97",24,"Iraq","UCSI",400,2018
"531","Asmaa Mohamed","NOP123456","Female","26-Mar-98",23,"Somalia","Taylor's",550,2018
"532","Aly Abdelaziz","QRS789012","Male","2-Jan-96",22,"Sudan","APU",5000,2018
"533","Zeyna Abdi","TUV345678","Female","12-Feb-99",19,"Somalia","City",2500,2018
"534","Muhammad Jamaa","WXY901234","Male","3-May-97",21,"Somalia","UUM",2000,2018
"535","Hamza Hussein","ZAB567890","Male","5-Aug-98",20,"Sudan","UIA",1500,2018
"536","Nura Abdi","CDE123456","Female","22-Jun-96",22,"Somalia","KL",3000,2018
"537","Ahmed Ibrahim","FGH789012","Male","15-Sep-99",19,"Kenya","UPM",2500,2018
"538","Lina Omar","IJK345678","Female","19-Aug-94",24,"Sudan","MMU",2000,2018
"539","Mohamed Ali","LMN901234","Male","8-Mar-96",22,"Somalia","UCSI",1800,2018
"540","Samira Abdi","OPQ567890","Female","30-Jul-98",20,"Somalia","UTAR",2200,2018
"541","Khalid Abdi","RST123456","Male","5-Nov-95",23,"Somalia","Mahsa",2700,2018
"542","Nadir Ahmed","UVW789012","Male","18-Apr-94",24,"Kenya","UCSI",3000,2018
"543","Safiya Ali","XYZ345678","Female","10-Jan-96",22,"Somalia","Taylor's",1500,2018
"544","Fatma Hassan","AAB901234","Female","22-Aug-97",21,"Sudan","APU",1800,2018
"545","Muhammad Daud","BCD567890","Male","2-Sep-99",19,"Kenya","City",2200,2018
"546","Awil Mohamed","OP345678","Male","1-Jan-98",20,"Somalia","UUM",500,2018
"547","Sahan Nura","QR901234","Male","2-Feb-99",19,"Kenya","UIA",450,2018
"548","Amirahim Ali","ST567890","Male","3-Mar-00",18,"Sudan","KL",600,2018
"549","Lamya Omar","UV123456","Female","4-Apr-97",21,"Somalia","UPM",550,2018
"550","Hafiz Salah","WX789012","Male","5-May-96",22,"Kenya","MMU",400,2018
"551","Ahmed Hassan","YZ345678","Male","6-Jun-98",20,"Sudan","UCSI",650,2018
"552","Ahmed Nadir","AA901234","Male","7-Jul-99",19,"Somalia","UTAR",550,2018
"553","Nasim Yassin","BB567890","Female","8-Aug-97",21,"Kenya","UNITAR",450,2018
"554","Mohamed Abukar","CC123456","Male","9-Sep-95",23,"Somalia","SEGi",400,2018
"555","Maryam Ibrahim","DD789012","Female","10-Oct-96",22,"Sudan","Sunway",600,2018
"556","Bilal Omar","EE345678","Male","11-Nov-98",20,"Kenya","Binary",550,2018
"557","Nasreen Ali","FF901234","Female","12-Dec-99",19,"Somalia","Limkokwing",400,2018
"558","Abdi Kadir","GG567890","Male","1-Jan-99",22,"Somalia","KDU",3500,2018
"559","Mohammed Ismail","HH123456","Male","3-Feb-98",20,"Sudan","Nilai",4500,2018
"560","Hussein Saeed","II789012","Male","5-Mar-99",21,"Somalia","Mahsa",4000,2018
"561","Fatima Abdullahi","JJ345678","Female","8-Apr-96",24,"Kenya","UCSI",3800,2018
"562","Ahmed Salahuddin","KK901234","Male","12-May-97",23,"Sudan","Taylor's",4200,2018
"563","Naima Hassan","LL567890","Female","14-Jun-98",22,"Somalia","APU",4100,2018
"564","Hafsa Ibrahim","MM123456","Female","17-Jul-99",21,"Kenya","City",3900,2018
"565","Adam Ali","NN789012","Male","21-Aug-96",24,"Somalia","UUM",3500,2018
"566","Yasmin Hussein","OO345678","Female","23-Sep-97",23,"Sudan","UIA",4500,2018
"567","Mohammed Ahmed","PP901234","Male","26-Oct-98",22,"Somalia","KL",4000,2018
"568","Ali Mohammed","QQ567890","Male","28-Nov-99",21,"Kenya","UPM",3800,2018
"569","Rania Abdelrahman","RR123456","Female","2-Jan-96",26,"Sudan","MMU",4200,2018
"570","Abdiqadir Mohamed","SS789012","Male","4-Feb-97",24,"Somalia","UCSI",4100,2018
"571","Nashwa Hassan","TT345678","Female","7-Mar-98",23,"Kenya","UTAR",3900,2018
"572","Omar Abdi","UU901234","Male","10-Apr-99",21,"Somalia","UNITAR",3500,2018
"573","Mahmoud Ali","VV567890","Male","1/1/1999",24,"Sudan","City",1200,2018
"574","Sultan Akhtar","WW123456","Male","3/5/2000",23,"Pakistan","UUM",1500,2018
"575","Nadia Ahmad","XX789012","Female","6/12/1997",26,"Pakistan","UIA",1000,2018
"576","Khalid Al Haddad","YY345678","Male","10/3/1998",23,"Yemen","KL",2000,2018
"577","Hussain Al-Hashmi","ZZ901234","Male","2/10/2000",23,"Oman","UPM",1800,2018
"578","Mariam Al-Zahrani","BA567890","Female","7/2/1999",24,"Saudi Arabia","MMU",2200,2018
"579","Abdullah Hassan Ali","BB123456","Male","12/6/1997",26,"Somalia","UCSI",1500,2018
"580","Halima Mohammed","BC789012","Female","5/1/1998",23,"Kenya","UTAR",1300,2018
"581","Saifullah Abdirahman","BD345678","Male","9/8/1999",22,"Somalia","UNITAR",1400,2018
"582","Faridah Amid","BE901234","Female","4/4/1997",26,"Egypt","SEGi",1900,2018
"583","Mohamed Ibrahim","BF567890","Male","11/2/1999",22,"Sudan","Sunway",1600,2018
"584","Ahmed Ali Shah","BG123456","Male","8/7/1997",24,"Pakistan","Binary",1200,2018
"585","Ismat Khatoon","BH789012","Female","3/12/1998",23,"Pakistan","Limkokwing",1700,2018
"586","Abdullahi Salim","BI345678","Male","2/5/2000",21,"Somalia","KDU",1400,2018
"587","Samir Alami","RDM769W832","Male","1-Feb-00",21,"Morocco","UCSI",2000,2020
"588","Sarah Ibrahim","HKL810S429","Female","18-Mar-01",19,"Egypt","UM",1500,2020
"589","Yahya Saeed","YEP291D358","Male","6-Jan-02",18,"Yemen","Taylor's",1700,2020
"590","Ameer Mansoor","BBZ193K957","Male","14-Jul-01",19,"Pakistan","APU",1800,2020
"591","Sanaa Abbas","MUV529E780","Female","2-Nov-02",18,"Iraq","UUM",1900,2020
"592","Fatima Bakr","GCN316N084","Female","27-Dec-99",21,"Somalia","UIA",1600,2020
"593","Khalid Al Hamoudi","VPL582W491","Male","14-Jan-00",20,"Saudi Arabia","City",1800,2020
"594","Hamdi Zakaria","DIF931J659","Male","8-Sep-01",19,"Sudan","UPM",2000,2020
"595","Amal Abdelaziz","QJW486U129","Female","5-Apr-02",18,"Egypt","USM",1500,2020
"596","Youssef Ahmed","OMR259L758","Male","22-Jun-00",20,"Egypt","UiTM",2000,2020
"597","Fatima Saad","YLT840Z573","Female","19-Oct-01",19,"Yemen","UMS",1700,2020
"598","Ahmed Ali","RWB705S128","Male","1-Dec-99",21,"Somalia","UKM",1900,2020
"599","Nadya Shaker","HCA960D035","Female","10-Mar-00",20,"Iraq","IIUM",1600,2020
"600","Ibrahim Hassan","XPI427K368","Male","14-Sep-01",19,"Egypt","UniMAP",1500,2020
"601","Ali Azeem","AYF843E126","Male","10-Apr-00",21,"Pakistan","UTM",2000,2020
"602","Najjar Ramzi","KTE952N791","Male","4-May-02",18,"Lebanon","AIT",2500,2020
"603","Imran Khan","UZO326Y875","Male","8-Sep-01",19,"Afghanistan","ASU",1800,2020
